cohort_month,cohort_size,month_index,active_customers,pct_retained,is_observable
2017-08-01,4130,1,28,0.68,1
2017-08-01,4130,2,14,0.34,1
2017-08-01,4130,3,11,0.27,1
2017-08-01,4130,4,15,0.36,1
2017-08-01,4130,5,22,0.53,1
2017-08-01,4130,6,12,0.29,1
2017-08-01,4130,7,11,0.27,1
2017-08-01,4130,8,6,0.15,1
2017-08-01,4130,9,6,0.15,1
2017-08-01,4130,10,10,0.24,1
2017-08-01,4130,11,8,0.19,1
2017-08-01,4130,12,5,0.12,1
2017-09-01,4075,0,4075,100.00,1
2017-09-01,4075,1,28,0.69,1
2017-09-01,4075,2,22,0.54,1
2017-09-01,4075,3,12,0.29,1
2017-09-01,4075,4,18,0.44,1
2017-09-01,4075,5,9,0.22,1
2017-09-01,4075,6,9,0.22,1
2017-09-01,4075,7,10,0.25,1
2017-09-01,4075,8,12,0.29,1
2017-09-01,4075,9,7,0.17,1
2017-09-01,4075,10,11,0.27,1
2017-09-01,4075,11,3,0.07,1
2017-10-01,4392,0,4392,100.00,1
2017-10-01,4392,1,31,0.71,1
2017-10-01,4392,2,11,0.25,1
2017-10-01,4392,3,4,0.09,1
2017-10-01,4392,4,10,0.23,1
2017-10-01,4392,5,9,0.20,1
2017-10-01,4392,6,9,0.20,1
2017-10-01,4392,7,16,0.36,1
2017-10-01,4392,8,12,0.27,1
2017-10-01,4392,9,9,0.20,1
2017-10-01,4392,10,9,0.20,1
2017-11-01,7190,0,7190,100.00,1
2017-11-01,7190,1,40,0.56,1
2017-11-01,7190,2,28,0.39,1
2017-11-01,7190,3,12,0.17,1
2017-11-01,7190,4,14,0.19,1
2017-11-01,7190,5,13,0.18,1
2017-11-01,7190,6,8,0.11,1
2017-11-01,7190,7,14,0.19,1
2017-11-01,7190,8,9,0.13,1
2017-11-01,7190,9,4,0.06,1
2017-12-01,5439,0,5439,100.00,1
2017-12-01,5439,1,12,0.22,1
2017-12-01,5439,2,15,0.28,1
2017-12-01,5439,3,19,0.35,1
2017-12-01,5439,4,14,0.26,1
2017-12-01,5439,5,11,0.20,1
2017-12-01,5439,6,9,0.17,1
2017-12-01,5439,7,2,0.04,1
2017-12-01,5439,8,12,0.22,1
2018-01-01,6951,0,6951,100.00,1
2018-01-01,6951,1,23,0.33,1
2018-01-01,6951,2,25,0.36,1
2018-01-01,6951,3,20,0.29,1
2018-01-01,6951,4,20,0.29,1
2018-01-01,6951,5,11,0.16,1
2018-01-01,6951,6,12,0.17,1
2018-01-01,6951,7,16,0.23,1
2018-02-01,6357,0,6357,100.00,1
2018-02-01,6357,1,23,0.36,1
2018-02-01,6357,2,25,0.39,1
2018-02-01,6357,3,19,0.30,1
2018-02-01,6357,4,17,0.27,1
2018-02-01,6357,5,14,0.22,1
2018-02-01,6357,6,13,0.20,1
2018-03-01,6931,0,6931,100.00,1
2018-03-01,6931,1,28,0.40,1
2018-03-01,6931,2,21,0.30,1
2018-03-01,6931,3,20,0.29,1
2018-03-01,6931,4,9,0.13,1
2018-03-01,6931,5,8,0.12,1
2018-04-01,6698,0,6698,100.00,1
2018-04-01,6698,1,39,0.58,1
2018-04-01,6698,2,21,0.31,1
2018-04-01,6698,3,16,0.24,1
2018-04-01,6698,4,9,0.13,1
2018-05-01,6586,0,6586,100.00,1
2018-05-01,6586,1,34,0.52,1
2018-05-01,6586,2,17,0.26,1
2018-05-01,6586,3,13,0.20,1
2018-06-01,5920,0,5920,100.00,1
2018-06-01,5920,1,25,0.42,1
2018-06-01,5920,2,16,0.27,1
2018-07-01,6016,0,6016,100.00,1
2018-07-01,6016,1,31,0.52,1
2018-08-01,6209,0,6209,100.00,1
2018-08-01,6209,1,1,0.02,1
